COD,CATEGORIA,PRODUCTO,PRECIO_MILES
45527,SMARTWATCH,XIAOMI SMART BAND 9 ACTIVE NEGRO,115
45551,SMARTWATCH,XIAOMI SMART BAND 9 ACTIVE BEIGE WHITE,115
45505,SMARTWATCH,XIAOMI REDMI WATCH 5 ACTIVE MATTE SILVER,151
45504,SMARTWATCH,XIAOMI REDMI WATCH 5 ACTIVE NEGRO,151
45506,SMARTWATCH,XIAOMI SMART BAND 9 NEGRA,169
45507,SMARTWATCH,XIAOMI SMART BAND 9 GLACIER SILVER,169
45508,SMARTWATCH,XIAOMI SMART BAND 9 ARCTIC BLUE,169
45559,SMARTWATCH,XIAOMI SMART BAND 10 MIDNIGHT NEGRO,220
45458,SMARTWATCH,XIAOMI WATCH S3 GRIS,519
52315,PORTATILES,ACER ASPIRE 3 15 A315-24PT-R2N3/RYZ 5 7520U+16GB D5+NVMe 512GB+AMD GRAPHICS+15.6 FHD TOUCH GRIS WINDOWS 11 PRO,1999
52299,PORTATILES,ASUS VIVOBOOK GO E1504FA-NJ1555/RYZ 5 7520U+16GB D5+NVMe 512GB+AMD GRAPHICS+15.6 FHD NEGRA WINDOWS 11 PRO,1799
52323,PORTATILES,ASUS VIVOBOOK X1504VA-NJ895/CORE i5 13420H+16GB D4+NVMe 512GB+INTEL GRAPHICS+15.6 FHD HUELLA GRIS WINDOWS 11 PRO,1939
52287,PORTATILES,ASUS VIVOBOOK M1502YA-NJ10/RYZ 7 7730U+16GB D4+NVMe 512GB+AMD GRAPHICS+15.6 FHD HUELLA GRIS WINDOWS 11 PRO,2159
52332,PORTATILES,ASUS VIVOBOOK X1502VA-NJ893/CORE i7 13620H+16GB D4+NVMe 1TB+INTEL GRAPHICS+15.6 FHD GRIS WINDOWS 11 PRO,2539
52226,PORTATILES,ASUS TUF GAMING A15 FA506NF-HN004/RYZEN 5 7535HS+16GB D5+NVMe 512GB+4GB RTX-2050+15.6 FHD NEGRO WINDOWS 11 PRO,2769
52210,PORTATILES,ASUS VIVOBOOK X1605VA-MB575/CORE i9 13900H+16GB D4+NVMe 1TB+INTEL GRAPHICS+16 WUXGA NEGRO WINDOWS 11 PRO,2895
52272,PORTATILES,ASUS TUF GAMING A15 FA506NC-HN006/RYZEN 5 7535HS+16GB D5+NVMe 512GB+4GB RTX-3050+15.6 FHD WINDOWS 11 PRO,3099
52314,PORTATILES,ASUS ZENBOOK UM3406HA-QD166/RYZ 7 8840HS IA+16GB D5+NVMe 1TB+AMD GRAPHICS+14 OLED WUXGA NEGRO WINDOWS 11 PRO,4049
52293,PORTATILES,ASUS ZENBOOK UX3405MA-PP1006/CORE ULTRA 7 155H+16G D5+NVMe 512G+INTEL GRAPH+14 3K OLED 120Hz 1.2Kg W11 PRO,4109
52285,PORTATILES,ASUS TUF FA507NUR-LP005 A15/RYZ 7 7435HS+16GB D5+NVMe 512GB+6GB RTX-4050+15.6 FHD GRIS WINDOWS 11 PRO,4785
52320,PORTATILES,ASUS TUF FA507NUR-LP009 A15/RYZEN 7 7435HS+16GB D5+NVMe 1TB+6GB RTX-4050+15.6 FHD GRIS WINDOWS 11 PRO,4920
52321,PORTATILES,ASUS ZENBOOK UX3405CA-PZ332W/ULTRA 7 255H+16GB D5+NVMe 1TB+INTEL GRAPHICS+14 3K TOUCH OLED+WIND 11 HOME AZUL,5985
52294,PORTATILES,ASUS TUF GAMING F15 FX507VV/CORE i7 13620H+16G D5+NVMe 1T+8GB RTX-4060+15.6 IPS FHD 144Hz WINDOWS 11 PRO,6249
52271,PORTATILES,ASUS ZENBOOK UX8406MA-PZ046W/CORE ULTRA 7 155H+32G D5+NVMe1T+PANTALLA DUAL TACTIL 14 3K OLED GRIS W11PRO,7399
52273,PORTATILES,ASUS ROG GU605MI-QR049W/ULTRA 9 185H+32G D5+NVMe 1T+8GB RTX-4070+16 2.5K OLED WQXGA 240Hz+FUNDA+MSE+W11H GRIS,11339
52325,PORTATILES,ASUS ROG G815LR-S9015W/ULTRA 9 275HX+32 D5+NVMe 1TB+12GB RTX-5070Ti+18 2.5K ROG NOBULA+WIND 11 HOME,13849
52309,PORTATILES,DELL INSPIRON 15 JK4PG 3520/ CORE i3 1215U+16GB D4+NVMe 512GB+INTEL GRAPHICS+15.6 FHD GRIS WINDOWS 11 PRO,1529
52333,PORTATILES,GIGABYTE A16 CTHI3LA893SH/CORE i7 13620H+16G D5+NVMe 512GB+8GB RTX-5050+16 WUXGA FHD 165Hz WIND 11 HOME RGB,5975
52300,PORTATILES,GIGABYTE AORUS 16X 2024/CORE i7 14650HX+32GB D5+NVMe 1TB+8GB RTX-4070+16 2K QHD 165Hz WIN 11 HOME GRIS,8389
52317,PORTATILES,HP 245 G10/RYZEN 3 7320U+NVMe 512GB+16GB D4+AMD GRAPHICS+14 FULL HD NEGRO WINDOWS 11 PRO,1419
52264,PORTATILES,LENOVO V14 G4 AMN/RYZ 5 7520U+16GB D5+NVMe 512GB+AMD GRAPCHIS+RJ45+14 FHD GRIS WINDOWS 11 PRO,1755
52282,PORTATILES,LENOVO IDEAPAD SLIM 3 15IAH8/CORE i5 12450H+16G D5+NVMe 512G+INTEL GRAPHICS+15.6 FHD AZUL WINDOWS 11 PRO,1845
52312,PORTATILES,LENOVO IDEAPAD SLIM 3 15IRH10/CORE i5 13420H+16G D5+NVMe 512GB+INTEL GRAPHICS+15.3 WUXGA GRIS WINDOWS 11 PRO,1949
52316,PORTATILES,LENOVO IDEAPAD SLIM 3 15ABR8/RYZ 7 5825U+16GB D4+NVMe 512GB+AMD GRAPHICS+15.6 FHD AZUL WINDOWS 11 PRO,1969
52304,PORTATILES,LENOVO IDEAPAD SLIM 3 15IAH8/CORE i5 12450H+16G D5+NVMe 512G+INTEL GRAPCHIS+15.6 FHD TOUCH+HUELLA+W11H GRIS,2529
52233,PORTATILES,LENOVO IDEAPAD SLIM 3 15IRH8/CORE i7 13620H+16G D5+NVMe 512G+INTEL GRAPCHIS+15.6FHD GRIS WINDOWS 11 PRO,2539
52330,PORTATILES,LENOVO IDEAPAD SLIM 3 15IRH10/CORE i7 13620H+16GB D5+NVMe 1TB+INTEL GRAPHICS+15.3 WUXGA GRIS WINDOWS 11 PRO,2675
52297,PORTATILES,LENOVO IDEAPAD FLEX 5 14ABR8 /RYZ 5 7530U+16G D4+NVMe 512G+AMD GRAPHICS+14 WUXGA TOUCH+LAPIZ WIND 11 HOME AZUL,2759
52276,PORTATILES,LENOVO LOQ 15IAX9E/CORE i5 12450HX+16GB D5+NVMe 512GB+6GB RTX-3050+15.6 FHD 144Hz GRIS WINDOWS 11 PRO,3099
52327,PORTATILES,MSI THIN 15 B13VE-3026XCO/CORE i5 13420H+16GB D4+NVMe 512GB+6GB RTX-4050+15.6 FHD 144Hz+MORRAL+ W11P 2 AÑOS DE GTIA,4249
52337,PORTATILES,MSI CYBORG 15 B2RWEKG-031XCO/ULTRA 5 210H+16GB D5+NVMe 512GB+8GB RTX-5050+15.6 FHD 144Hz+MORRAL+W11P 2 AÑOS GTIA,5795
52336,PORTATILES,MSI CYBORG 15 B2RWEKG-030XCO/ULTRA 7 240H+16GB D5+NVMe 512GB+8GB RTX-5050+15.6 FHD 144Hz+MORRAL+ W11P 2 AÑOS GTIA,6349
52334,PORTATILES,MSI CYBORG A15 AI B2HWFKG-014XCO/RYZ 7260+16GB D5+NVMe 512GB+8GB RTX-5060+15.6 FHD 144Hz+MORRAL+W11P 2 AÑOS GTIA,6875
52335,PORTATILES,MSI KATANA 15 HX B14WFK-405XCO/CORE i7 14650HX+16G D5+NVMe 512G+8GB RTX-5060+15.6 2K QHD 165Hz+MORRAL+W11P 2 AÑOS,7399
52318,PORTATILES,MSI VECTOR 16 HX AI A2XWHG-237CO/ULTRA 7 255HX+32G D5+NVMe 1TB+12GB RTX-5070Ti+16 FHD RGB+MORRAL+W11H 2 AÑOS,12799
52319,PORTATILES,MSI VECTOR 16 HX AI A2XWIG-236CO/ULTRA 9 275HX+32G D5+NVMe 2TB+16GB RTX-5080+16 2K QHD+RGB+MORRAL+W11H 2 AÑOS,17839
52326,PORTATILES,MSI VECTOR 17 HX AI A2XWJG-071CO/ULTRA 9 275HX+32GB D5+NVMe 2TB +24 GB RTX-5090+17 QHD 240Hz+RGB W11 H 2 AÑOS GTIA,23615
51193,EQUIPOS_ENSAMBLADOS,POWER CL-L48 V.T MESH+4ARGB/RYZ 5 5600GT+16GB D4 RGB+B550M WiFi+NVMe 512GB+ASUS 25 IPS FHD (1ms-120Hz)+T+M 801 RGB WINDOWS 11 PRO,2129
51185,EQUIPOS_ENSAMBLADOS,CAJA COUGAR FV150 V.T.+4ARGB/RYZ 5 5600GT+16G D4 RGB+A520M+ WIFI USB+650W BZ+NVMe 512GB+ASUS 24 IPS FHD (1ms-120Hz)+T+M LOGI MK120 W11P,2259
51188,EQUIPOS_ENSAMBLADOS,CAJA COUGAR MX360 V.T.1ARGB/CORE i5 12400+16GB D5 RGB+B760M+WIFI USB+1TB+650W BZ+ASUS 24 IPS FHD (1ms-120Hz)+T+M LOGITECH MK120 W11P,2429
51200,EQUIPOS_ENSAMBLADOS,COUGAR FV150 V.T.+4ARGB/RYZ 5 5700G+16GB D4 RGB+NVMe 1TB+B550M WiFi+650W BZ+MSI 25 IPS FHD (1ms-120Hz)+T+M EVC MK102 WIND 11 PRO,2439
51186,EQUIPOS_ENSAMBLADOS,CAJA COUGAR FV150 V.T.+4ARGB/RYZ 7 5700G+16G D4 RGB+B550M WiFi+NVMe 1TB+650W BZ+MSI 25 IPS FHD (1ms-120Hz)+T+M LOGITECH MK120 W11P,2439
51171,EQUIPOS_ENSAMBLADOS,POWER CL-W75 7ARGB/RYZ 7 5700G+16GB D4 RGB+NVMe 1TB+A520M WiFi+600W BZ+ACER 24 IPS FHD (1ms-120Hz)+T+M GC-801 RGB WIND 11 PRO,2475
51179,EQUIPOS_ENSAMBLADOS,POWER CL-W75 7ARGB/RYZ 7 5700G+16GB D4 RGB+NVMe 1TB+A520M WiFi+600W BZ+ASUS 25 IPS FHD (1ms-120GHz)+T+M+MSI GK100 RGB WID 11 P,2475
51177,EQUIPOS_ENSAMBLADOS,CAJA CORSAIR 480T V.T.3ARGB/RYZ 7 5700G+16GB D4 RGB+B550M WiFi+COUGAR 750W BZ+NVMe 1TB+ASUS 24 IPS FHD (1ms-120Hz)+T+M MK120 W11P,2475
51182,EQUIPOS_ENSAMBLADOS,POWER CL-W78 V.T CURVO 7ARGB/RYZ 7 5700G+16GB D4 RGB+NVMe 1TB+600W XPG+B550M WiFi+ASUS 25 IPS FHD (1ms-120Hz)+T+M+PAD RGB 801 RGB W11P,2579
51190,EQUIPOS_ENSAMBLADOS,POWER CL-W78 V.T CURVO 7ARGB/RYZ 5 8500G+16GB D5+NVMe 512GB+B650M WiFi+ASUS 25 IPS FHD (1ms-120Hz)+T+M GC-801 RGB WINDOWS 11 P,2599
51191,EQUIPOS_ENSAMBLADOS,POWER CL-W69 CAJA BLANCA 7ARGB/RYZ 5 8500G+16G D5+NVMe 512GB+B650M WiFi+ASUS 25 IPS FHD (1ms-120Hz)+T+M GC-801 RGB WINDOWS 11 P,2599
51197,EQUIPOS_ENSAMBLADOS,COUGAR FV150 V.T.+4ARGB/RYZ 5 8500G+16G D5 RGB+650W BZ+NVMe 1TB+B650 WiFi+MSI 25 IPS FHD (1ms-120Hz)+T+M EVC MK102 WINDOWS 11 PRO,2685
51195,EQUIPOS_ENSAMBLADOS,COUGAR FV150 V.T.+4ARGB/RYZ 5 8600G+16GB D5 RGB+B650 WiFi+750W BZ+NVMe 512GB+MSI IPS FHD (1ms-120Hz)+T+M LOGITECH MK120 WIND 11 PRO,2749
